edicao,variavel_original,valor,contagem,total_respondentes,pct_na_dimensao,categoria,opcao,elegiveis,selecionaram,pct_adocao
2025-2026,ai_generativa_e_llm_e_uma_prioridade,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).",155,652,23.8,ia_generativa_prioridade_na_empresa,,,,
2025-2026,ai_generativa_e_llm_e_uma_prioridade,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).",169,652,25.9,ia_generativa_prioridade_na_empresa,,,,
2025-2026,ai_generativa_e_llm_e_uma_prioridade,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).",240,652,36.8,ia_generativa_prioridade_na_empresa,,,,
2025-2026,ai_generativa_e_llm_e_uma_prioridade,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.,74,652,11.3,ia_generativa_prioridade_na_empresa,,,,
2025-2026,ai_generativa_e_llm_e_uma_prioridade,Não sei opinar sobre esse assunto.,14,652,2.1,ia_generativa_prioridade_na_empresa,,,,
2024-2025,ai_generativa_e_llm_e_uma_prioridade,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).",325,1045,31.1,ia_generativa_prioridade_na_empresa,,,,
2024-2025,ai_generativa_e_llm_e_uma_prioridade,Não sei opinar sobre esse assunto.,29,1045,2.8,ia_generativa_prioridade_na_empresa,,,,
2024-2025,ai_generativa_e_llm_e_uma_prioridade,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).",301,1045,28.8,ia_generativa_prioridade_na_empresa,,,,
2024-2025,ai_generativa_e_llm_e_uma_prioridade,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).",235,1045,22.5,ia_generativa_prioridade_na_empresa,,,,
2024-2025,ai_generativa_e_llm_e_uma_prioridade,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.,155,1045,14.8,ia_generativa_prioridade_na_empresa,,,,
