categoria,ranking,opcao,pct_adocao
criterios_para_escolher_emprego,1,remuneracao_salario,83.2
criterios_para_escolher_emprego,2,flexibilidade_de_trabalho_remoto,56.6
criterios_para_escolher_emprego,3,plano_de_carreira_e_oportunidades_de_crescimento,32.3
criterios_para_escolher_emprego,4,beneficios,24.5
criterios_para_escolher_emprego,5,oportunidade_de_aprendizado_e_trabalhar_com_referencias,23.7
desafios_como_gestor,1,dividir_o_tempo_entre_entregas_tecnicas_e_gestao,36.3
desafios_como_gestor,2,gerenciar_a_expectativa_das_areas,33.3
desafios_como_gestor,3,gestao_de_projetos_envolvendo_areas_multidisciplinares,29.1
desafios_como_gestor,4,gerar_valor_para_as_areas_de_negocios,23.5
desafios_como_gestor,5,organizar_as_informacoes_com_qualidade_e_confiabilidade,21.6
motivo_insatisfacao_profissional,1,remuneracao_salario,45.3
motivo_insatisfacao_profissional,2,oportunidades_de_crescimento,34.9
motivo_insatisfacao_profissional,3,oportunidade_de_aprendizado_e_trabalhar_com_referencias,31.5
motivo_insatisfacao_profissional,4,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,25.8
motivo_insatisfacao_profissional,5,gostaria_de_trabalhar_em_outra_area,19.8
motivos_para_nao_usar_ia,1,falta_de_expertise_ou_falta_de_recursos,38.8
motivos_para_nao_usar_ia,2,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,36.8
motivos_para_nao_usar_ia,3,falta_de_compreensao_dos_casos_de_uso,32.0
motivos_para_nao_usar_ia,4,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,28.4
motivos_para_nao_usar_ia,5,preocupacoes_com_seguranca_e_privacidade_de_dados,27.8
