edicao,opcao,elegiveis,selecionaram,pct_adocao,categoria
2023-2024,organizar_as_informacoes_com_qualidade_e_confiabilidade,874,270.0,30.9,desafios_como_gestor
2023-2024,gestao_de_projetos_envolvendo_areas_multidisciplinares,874,165.0,18.9,desafios_como_gestor
2023-2024,gestao_de_equipes_no_ambiente_remoto,874,75.0,8.6,desafios_como_gestor
2023-2024,processar_e_armazenar_um_alto_volume_de_dados,874,46.0,5.3,desafios_como_gestor
2023-2024,reter_talentos,874,0.0,0.0,desafios_como_gestor
2023-2024,gerenciar_a_expectativa_das_areas,874,0.0,0.0,desafios_como_gestor
2023-2024,gerar_valor_para_as_areas_de_negocios,874,0.0,0.0,desafios_como_gestor
2023-2024,garantir_roi_em_projetos_de_dados,874,0.0,0.0,desafios_como_gestor
2023-2024,garantir_a_manutencao_dos_projetos_e_modelos_em_producao,874,0.0,0.0,desafios_como_gestor
2023-2024,dividir_o_tempo_entre_entregas_tecnicas_e_gestao,874,0.0,0.0,desafios_como_gestor
2023-2024,desenvolver_e_manter_modelos_machine_learning_em_producao,874,0.0,0.0,desafios_como_gestor
2023-2024,convencer_a_empresa_a_aumentar_investimentos,874,0.0,0.0,desafios_como_gestor
2023-2024,contratar_talentos,874,0.0,0.0,desafios_como_gestor
2023-2024,conseguir_levar_inovacao_para_a_empresa,874,0.0,0.0,desafios_como_gestor
2024-2025,gerenciar_a_expectativa_das_areas,1045,367.0,35.1,desafios_como_gestor
2024-2025,dividir_o_tempo_entre_entregas_tecnicas_e_gestao,1045,319.0,30.5,desafios_como_gestor
2024-2025,gerar_valor_para_as_areas_de_negocios,1045,284.0,27.2,desafios_como_gestor
2024-2025,organizar_as_informacoes_com_qualidade_e_confiabilidade,1045,283.0,27.1,desafios_como_gestor
2024-2025,garantir_roi_em_projetos_de_dados,1045,262.0,25.1,desafios_como_gestor
2024-2025,conseguir_levar_inovacao_para_a_empresa,1045,243.0,23.3,desafios_como_gestor
2024-2025,gestao_de_projetos_envolvendo_areas_multidisciplinares,1045,218.0,20.9,desafios_como_gestor
2024-2025,convencer_a_empresa_a_aumentar_investimentos,1045,199.0,19.0,desafios_como_gestor
2024-2025,contratar_talentos,1045,172.0,16.5,desafios_como_gestor
2024-2025,reter_talentos,1045,165.0,15.8,desafios_como_gestor
2024-2025,garantir_a_manutencao_dos_projetos_e_modelos_em_producao,1045,156.0,14.9,desafios_como_gestor
2024-2025,gestao_de_equipes_no_ambiente_remoto,1045,101.0,9.7,desafios_como_gestor
2024-2025,processar_e_armazenar_um_alto_volume_de_dados,1045,60.0,5.7,desafios_como_gestor
2024-2025,desenvolver_e_manter_modelos_machine_learning_em_producao,1045,55.0,5.3,desafios_como_gestor
2025-2026,dividir_o_tempo_entre_entregas_tecnicas_e_gestao,652,237.0,36.3,desafios_como_gestor
2025-2026,gerenciar_a_expectativa_das_areas,652,217.0,33.3,desafios_como_gestor
2025-2026,gestao_de_projetos_envolvendo_areas_multidisciplinares,652,190.0,29.1,desafios_como_gestor
2025-2026,gerar_valor_para_as_areas_de_negocios,652,153.0,23.5,desafios_como_gestor
2025-2026,organizar_as_informacoes_com_qualidade_e_confiabilidade,652,141.0,21.6,desafios_como_gestor
2025-2026,garantir_a_manutencao_dos_projetos_e_modelos_em_producao,652,133.0,20.4,desafios_como_gestor
2025-2026,conseguir_levar_inovacao_para_a_empresa,652,122.0,18.7,desafios_como_gestor
2025-2026,garantir_roi_em_projetos_de_dados,652,88.0,13.5,desafios_como_gestor
2025-2026,gestao_de_equipes_no_ambiente_remoto,652,77.0,11.8,desafios_como_gestor
2025-2026,convencer_a_empresa_a_aumentar_investimentos,652,71.0,10.9,desafios_como_gestor
2025-2026,reter_talentos,652,62.0,9.5,desafios_como_gestor
2025-2026,contratar_talentos,652,55.0,8.4,desafios_como_gestor
2025-2026,processar_e_armazenar_um_alto_volume_de_dados,652,27.0,4.1,desafios_como_gestor
2025-2026,desenvolver_e_manter_modelos_machine_learning_em_producao,652,26.0,4.0,desafios_como_gestor
2023-2024,gostaria_de_trabalhar_em_outra_area,1318,328.0,24.9,motivo_insatisfacao_profissional
2023-2024,ambiente_e_clima_de_trabalho,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,beneficios,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,flexibilidade_de_trabalho_remoto,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,oportunidade_de_aprendizado_e_trabalhar_com_referencias,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,oportunidades_de_crescimento,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,proposito_do_trabalho_e_da_empresa,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,relacao_com_os_gestores_e_lideres,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,remuneracao_salario,1318,0.0,0.0,motivo_insatisfacao_profissional
2023-2024,reputacao_que_a_empresa_tem_no_mercado,1318,0.0,0.0,motivo_insatisfacao_profissional
2024-2025,remuneracao_salario,1527,681.0,44.6,motivo_insatisfacao_profissional
2024-2025,oportunidades_de_crescimento,1527,520.0,34.1,motivo_insatisfacao_profissional
2024-2025,oportunidade_de_aprendizado_e_trabalhar_com_referencias,1527,503.0,32.9,motivo_insatisfacao_profissional
2024-2025,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,1527,463.0,30.3,motivo_insatisfacao_profissional
2024-2025,beneficios,1527,261.0,17.1,motivo_insatisfacao_profissional
2024-2025,gostaria_de_trabalhar_em_outra_area,1527,261.0,17.1,motivo_insatisfacao_profissional
2024-2025,flexibilidade_de_trabalho_remoto,1527,253.0,16.6,motivo_insatisfacao_profissional
2024-2025,ambiente_e_clima_de_trabalho,1527,211.0,13.8,motivo_insatisfacao_profissional
2024-2025,proposito_do_trabalho_e_da_empresa,1527,196.0,12.8,motivo_insatisfacao_profissional
2024-2025,relacao_com_os_gestores_e_lideres,1527,87.0,5.7,motivo_insatisfacao_profissional
2024-2025,reputacao_que_a_empresa_tem_no_mercado,1527,20.0,1.3,motivo_insatisfacao_profissional
2025-2026,remuneracao_salario,1002,454.0,45.3,motivo_insatisfacao_profissional
2025-2026,oportunidades_de_crescimento,1002,350.0,34.9,motivo_insatisfacao_profissional
2025-2026,oportunidade_de_aprendizado_e_trabalhar_com_referencias,1002,316.0,31.5,motivo_insatisfacao_profissional
2025-2026,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,1002,259.0,25.8,motivo_insatisfacao_profissional
2025-2026,gostaria_de_trabalhar_em_outra_area,1002,198.0,19.8,motivo_insatisfacao_profissional
2025-2026,beneficios,1002,173.0,17.3,motivo_insatisfacao_profissional
2025-2026,flexibilidade_de_trabalho_remoto,1002,160.0,16.0,motivo_insatisfacao_profissional
2025-2026,proposito_do_trabalho_e_da_empresa,1002,121.0,12.1,motivo_insatisfacao_profissional
2025-2026,ambiente_e_clima_de_trabalho,1002,120.0,12.0,motivo_insatisfacao_profissional
2025-2026,relacao_com_os_gestores_e_lideres,1002,43.0,4.3,motivo_insatisfacao_profissional
2025-2026,reputacao_que_a_empresa_tem_no_mercado,1002,17.0,1.7,motivo_insatisfacao_profissional
2024-2025,remuneracao_salario,4863,3941.0,81.0,criterios_para_escolher_emprego
2024-2025,flexibilidade_de_trabalho_remoto,4863,2804.0,57.7,criterios_para_escolher_emprego
2024-2025,plano_de_carreira_e_oportunidades_de_crescimento,4863,1543.0,31.7,criterios_para_escolher_emprego
2024-2025,beneficios,4863,1236.0,25.4,criterios_para_escolher_emprego
2024-2025,oportunidade_de_aprendizado_e_trabalhar_com_referencias,4863,1179.0,24.2,criterios_para_escolher_emprego
2024-2025,ambiente_e_clima_de_trabalho,4863,1030.0,21.2,criterios_para_escolher_emprego
2024-2025,proposito_do_trabalho_e_da_empresa,4863,799.0,16.4,criterios_para_escolher_emprego
2024-2025,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,4863,630.0,13.0,criterios_para_escolher_emprego
2024-2025,qualidade_dos_gestores_e_lideres,4863,376.0,7.7,criterios_para_escolher_emprego
2024-2025,reputacao_que_a_empresa_tem_no_mercado,4863,276.0,5.7,criterios_para_escolher_emprego
2025-2026,remuneracao_salario,3228,2686.0,83.2,criterios_para_escolher_emprego
2025-2026,flexibilidade_de_trabalho_remoto,3228,1827.0,56.6,criterios_para_escolher_emprego
2025-2026,plano_de_carreira_e_oportunidades_de_crescimento,3228,1044.0,32.3,criterios_para_escolher_emprego
2025-2026,beneficios,3228,791.0,24.5,criterios_para_escolher_emprego
2025-2026,oportunidade_de_aprendizado_e_trabalhar_com_referencias,3228,764.0,23.7,criterios_para_escolher_emprego
2025-2026,ambiente_e_clima_de_trabalho,3228,691.0,21.4,criterios_para_escolher_emprego
2025-2026,proposito_do_trabalho_e_da_empresa,3228,507.0,15.7,criterios_para_escolher_emprego
2025-2026,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,3228,350.0,10.8,criterios_para_escolher_emprego
2025-2026,qualidade_dos_gestores_e_lideres,3228,260.0,8.1,criterios_para_escolher_emprego
2025-2026,reputacao_que_a_empresa_tem_no_mercado,3228,182.0,5.6,criterios_para_escolher_emprego
2023-2024,falta_de_compreensao_dos_casos_de_uso,823,303.0,36.8,motivos_para_nao_usar_ia
2023-2024,falta_de_expertise_ou_falta_de_recursos,823,286.0,34.8,motivos_para_nao_usar_ia
2023-2024,preocupacoes_com_seguranca_e_privacidade_de_dados,823,262.0,31.8,motivos_para_nao_usar_ia
2023-2024,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,823,252.0,30.6,motivos_para_nao_usar_ia
2023-2024,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,823,129.0,15.7,motivos_para_nao_usar_ia
