categoria,edicao,variavel_original,valor,contagem,total_respondentes,pct_na_dimensao,opcao,elegiveis,selecionaram,pct_adocao
ia_generativa_prioridade_na_empresa,2024-2025,ai_generativa_e_llm_e_uma_prioridade,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).",301.0,1045.0,28.8,,,,
ia_generativa_prioridade_na_empresa,2024-2025,ai_generativa_e_llm_e_uma_prioridade,Não sei opinar sobre esse assunto.,29.0,1045.0,2.8,,,,
ia_generativa_prioridade_na_empresa,2024-2025,ai_generativa_e_llm_e_uma_prioridade,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.,155.0,1045.0,14.8,,,,
ia_generativa_prioridade_na_empresa,2024-2025,ai_generativa_e_llm_e_uma_prioridade,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).",325.0,1045.0,31.1,,,,
ia_generativa_prioridade_na_empresa,2024-2025,ai_generativa_e_llm_e_uma_prioridade,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).",235.0,1045.0,22.5,,,,
ia_generativa_prioridade_na_empresa,2025-2026,ai_generativa_e_llm_e_uma_prioridade,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).",169.0,652.0,25.9,,,,
ia_generativa_prioridade_na_empresa,2025-2026,ai_generativa_e_llm_e_uma_prioridade,Não sei opinar sobre esse assunto.,14.0,652.0,2.1,,,,
ia_generativa_prioridade_na_empresa,2025-2026,ai_generativa_e_llm_e_uma_prioridade,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.,74.0,652.0,11.3,,,,
ia_generativa_prioridade_na_empresa,2025-2026,ai_generativa_e_llm_e_uma_prioridade,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).",240.0,652.0,36.8,,,,
ia_generativa_prioridade_na_empresa,2025-2026,ai_generativa_e_llm_e_uma_prioridade,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).",155.0,652.0,23.8,,,,
uso_pessoal_chatgpt_copilot,2023-2024,,,,,,uso_solucoes_gratuitas_de_ai_generativa_com_foco_em_produtividade,3772.0,2401.0,63.7
uso_pessoal_chatgpt_copilot,2023-2024,,,,,,nao_uso_solucoes_de_ai_generativa_com_foco_em_produtividade,3772.0,744.0,19.7
uso_pessoal_chatgpt_copilot,2023-2024,,,,,,uso_solucoes_do_tipo_copilot,3772.0,444.0,11.8
uso_pessoal_chatgpt_copilot,2023-2024,,,,,,uso_e_pago_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,3772.0,261.0,6.9
uso_pessoal_chatgpt_copilot,2023-2024,,,,,,a_empresa_que_trabalho_paga_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,3772.0,240.0,6.4
uso_pessoal_chatgpt_copilot,2024-2025,,,,,,uso_solucoes_gratuitas_de_ai_generativa_com_foco_em_produtividade,3619.0,1944.0,53.7
uso_pessoal_chatgpt_copilot,2024-2025,,,,,,uso_solucoes_do_tipo_copilot,3619.0,858.0,23.7
uso_pessoal_chatgpt_copilot,2024-2025,,,,,,a_empresa_que_trabalho_paga_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,3619.0,697.0,19.3
uso_pessoal_chatgpt_copilot,2024-2025,,,,,,uso_e_pago_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,3619.0,562.0,15.5
uso_pessoal_chatgpt_copilot,2024-2025,,,,,,nao_uso_solucoes_de_ai_generativa_com_foco_em_produtividade,3619.0,237.0,6.5
uso_pessoal_chatgpt_copilot,2025-2026,,,,,,a_empresa_que_trabalho_paga_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,2106.0,892.0,42.4
uso_pessoal_chatgpt_copilot,2025-2026,,,,,,uso_solucoes_gratuitas_de_ai_generativa_com_foco_em_produtividade,2106.0,643.0,30.5
uso_pessoal_chatgpt_copilot,2025-2026,,,,,,uso_solucoes_do_tipo_copilot,2106.0,628.0,29.8
uso_pessoal_chatgpt_copilot,2025-2026,,,,,,uso_e_pago_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,2106.0,567.0,26.9
uso_pessoal_chatgpt_copilot,2025-2026,,,,,,nao_uso_solucoes_de_ai_generativa_com_foco_em_produtividade,2106.0,44.0,2.1
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,colaboradores_usando_ai_generativa_de_forma_independente_e_descentralizada,4634.0,2026.0,43.7
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,ia_generativa_e_llms_nao_e_prioridade,4634.0,965.0,20.8
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,ai_generativa_e_llms_para_melhorar_produtos_internos_para_os_colaboradores,4634.0,816.0,17.6
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,ai_generativa_e_llms_para_melhorar_produtos_externos_para_os_clientes_finais,4634.0,799.0,17.2
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,desenvolvedores_utilizando_copilots,4634.0,764.0,16.5
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,nao_sei_opinar_sobre_o_uso_de_ia_generativa_e_llms_na_empresa,4634.0,654.0,14.1
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,direcionamento_centralizado_do_uso_de_ai_generativa,4634.0,507.0,10.9
tipo_de_uso_de_ia_na_empresa,2023-2024,,,,,,ia_generativa_e_llms_como_principal_frente_do_negocio,4634.0,199.0,4.3
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,colaboradores_usando_ai_generativa_de_forma_independente_e_descentralizada,4619.0,2206.0,47.8
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,ai_generativa_e_llms_para_melhorar_produtos_externos_para_os_clientes_finais,4619.0,1418.0,30.7
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,ai_generativa_e_llms_para_melhorar_produtos_internos_para_os_colaboradores,4619.0,1369.0,29.6
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,desenvolvedores_utilizando_copilots,4619.0,1307.0,28.3
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,direcionamento_centralizado_do_uso_de_ai_generativa,4619.0,996.0,21.6
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,ia_generativa_e_llms_nao_e_prioridade,4619.0,532.0,11.5
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,ia_generativa_e_llms_como_principal_frente_do_negocio,4619.0,358.0,7.8
tipo_de_uso_de_ia_na_empresa,2024-2025,,,,,,nao_sei_opinar_sobre_o_uso_de_ia_generativa_e_llms_na_empresa,4619.0,336.0,7.3
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,colaboradores_usando_ai_generativa_de_forma_independente_e_descentralizada,2722.0,1329.0,48.8
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,direcionamento_centralizado_do_uso_de_ai_generativa,2722.0,988.0,36.3
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,desenvolvedores_utilizando_copilots,2722.0,949.0,34.9
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,ai_generativa_e_llms_para_melhorar_produtos_internos_para_os_colaboradores,2722.0,873.0,32.1
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,ai_generativa_e_llms_para_melhorar_produtos_externos_para_os_clientes_finais,2722.0,848.0,31.2
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,ia_generativa_e_llms_como_principal_frente_do_negocio,2722.0,295.0,10.8
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,ia_generativa_e_llms_nao_e_prioridade,2722.0,180.0,6.6
tipo_de_uso_de_ia_na_empresa,2025-2026,,,,,,nao_sei_opinar_sobre_o_uso_de_ia_generativa_e_llms_na_empresa,2722.0,88.0,3.2
motivos_para_nao_usar_ia,2023-2024,,,,,,falta_de_compreensao_dos_casos_de_uso,823.0,303.0,36.8
motivos_para_nao_usar_ia,2023-2024,,,,,,falta_de_expertise_ou_falta_de_recursos,823.0,286.0,34.8
motivos_para_nao_usar_ia,2023-2024,,,,,,preocupacoes_com_seguranca_e_privacidade_de_dados,823.0,262.0,31.8
motivos_para_nao_usar_ia,2023-2024,,,,,,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,823.0,252.0,30.6
motivos_para_nao_usar_ia,2023-2024,,,,,,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,823.0,129.0,15.7
motivos_para_nao_usar_ia,2023-2024,,,,,,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,823.0,126.0,15.3
motivos_para_nao_usar_ia,2023-2024,,,,,,preocupacoes_com_propriedade_intelectual,823.0,121.0,14.7
motivos_para_nao_usar_ia,2023-2024,,,,,,incerteza_em_relacao_a_regulamentacao,823.0,119.0,14.5
motivos_para_nao_usar_ia,2023-2024,,,,,,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,823.0,89.0,10.8
motivos_para_nao_usar_ia,2024-2025,,,,,,falta_de_compreensao_dos_casos_de_uso,974.0,334.0,34.3
motivos_para_nao_usar_ia,2024-2025,,,,,,falta_de_expertise_ou_falta_de_recursos,974.0,328.0,33.7
motivos_para_nao_usar_ia,2024-2025,,,,,,preocupacoes_com_seguranca_e_privacidade_de_dados,974.0,314.0,32.2
motivos_para_nao_usar_ia,2024-2025,,,,,,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,974.0,289.0,29.7
motivos_para_nao_usar_ia,2024-2025,,,,,,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,974.0,249.0,25.6
motivos_para_nao_usar_ia,2024-2025,,,,,,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,974.0,173.0,17.8
motivos_para_nao_usar_ia,2024-2025,,,,,,incerteza_em_relacao_a_regulamentacao,974.0,124.0,12.7
motivos_para_nao_usar_ia,2024-2025,,,,,,preocupacoes_com_propriedade_intelectual,974.0,123.0,12.6
motivos_para_nao_usar_ia,2024-2025,,,,,,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,974.0,88.0,9.0
motivos_para_nao_usar_ia,2025-2026,,,,,,falta_de_expertise_ou_falta_de_recursos,587.0,228.0,38.8
motivos_para_nao_usar_ia,2025-2026,,,,,,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,587.0,216.0,36.8
motivos_para_nao_usar_ia,2025-2026,,,,,,falta_de_compreensao_dos_casos_de_uso,587.0,188.0,32.0
motivos_para_nao_usar_ia,2025-2026,,,,,,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,587.0,167.0,28.4
motivos_para_nao_usar_ia,2025-2026,,,,,,preocupacoes_com_seguranca_e_privacidade_de_dados,587.0,163.0,27.8
motivos_para_nao_usar_ia,2025-2026,,,,,,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,587.0,100.0,17.0
motivos_para_nao_usar_ia,2025-2026,,,,,,incerteza_em_relacao_a_regulamentacao,587.0,58.0,9.9
motivos_para_nao_usar_ia,2025-2026,,,,,,preocupacoes_com_propriedade_intelectual,587.0,54.0,9.2
motivos_para_nao_usar_ia,2025-2026,,,,,,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,587.0,44.0,7.5
