edicao,cargo_harmonizado,nivel,total_respondentes,faixa_p50,ordem_faixa_p50,faixa_p75,ordem_faixa_p75
2023-2024,Analytics Engineer,Pleno,52,de R$ 6.001/mês a R$ 8.000/mês,6,de R$ 8.001/mês a R$ 12.000/mês,7
2024-2025,Analytics Engineer,Pleno,83,de R$ 6.001/mês a R$ 8.000/mês,6,de R$ 8.001/mês a R$ 12.000/mês,7
2025-2026,Analytics Engineer,Pleno,41,de R$ 8.001/mês a R$ 12.000/mês,7,de R$ 8.001/mês a R$ 12.000/mês,7
2023-2024,Cientista de Dados/Data Scientist,Júnior,165,de R$ 4.001/mês a R$ 6.000/mês,5,de R$ 6.001/mês a R$ 8.000/mês,6
2024-2025,Cientista de Dados/Data Scientist,Júnior,118,de R$ 4.001/mês a R$ 6.000/mês,5,de R$ 6.001/mês a R$ 8.000/mês,6
2025-2026,Cientista de Dados/Data Scientist,Júnior,65,de R$ 4.001/mês a R$ 6.000/mês,5,de R$ 8.001/mês a R$ 12.000/mês,7
2023-2024,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,28,de R$ 2.001/mês a R$ 3.000/mês,3,de R$ 4.001/mês a R$ 6.000/mês,5
2024-2025,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,29,de R$ 2.001/mês a R$ 3.000/mês,3,de R$ 3.001/mês a R$ 4.000/mês,4
2025-2026,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,24,de R$ 3.001/mês a R$ 4.000/mês,4,de R$ 6.001/mês a R$ 8.000/mês,6
2023-2024,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,51,de R$ 12.001/mês a R$ 16.000/mês,8,de R$ 16.001/mês a R$ 20.000/mês,9
2024-2025,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,44,de R$ 8.001/mês a R$ 12.000/mês,7,de R$ 12.001/mês a R$ 16.000/mês,8
2025-2026,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,41,de R$ 12.001/mês a R$ 16.000/mês,8,de R$ 20.001/mês a R$ 25.000/mês,10
2023-2024,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,29,de R$ 16.001/mês a R$ 20.000/mês,9,de R$ 20.001/mês a R$ 25.000/mês,10
2024-2025,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,58,de R$ 16.001/mês a R$ 20.000/mês,9,de R$ 20.001/mês a R$ 25.000/mês,10
2025-2026,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,42,de R$ 16.001/mês a R$ 20.000/mês,9,de R$ 30.001/mês a R$ 40.000/mês,12
